   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	468884	177321	41480	68396	10938	9902	6641	29867	36508	344545	73.4819
Khulna	455481	166555	45032	89073	12378	11165	6251	19150	25401	349604	76.7549
Barisal	114069	35958	6649	27212	2686	2993	1060	3328	4388	79886	70.0331
Dhaka	541738	203060	54269	71421	16503	6043	3552	21035	24587	375883	69.3846
Chittagong	486041	156735	34551	79281	11657	6633	2206	16704	18910	307767	63.3212
Sylhet	86077	26865	10823	9713	1726	2015	694	1896	2590	53732	62.4232
Rangpur	284893	121713	19389	44510	5130	5338	13425	11989	25414	221494	77.7464
Mymensingh	232802	91773	13867	38577	6605	6294	3258	9644	12902	170018	73.0312

 
