   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	535203	196902	68480	95576	16656	18448	11203	31362	42565	438627	81.9553
Khulna	510879	175698	56084	94390	19000	24344	12734	34275	47009	416525	81.5310
Barisal	130446	39282	12061	34000	4678	7017	2378	3466	5844	102882	78.8694
Dhaka	668627	255238	70853	99913	28824	25322	11256	37000	48256	528406	79.0285
Chittagong	536661	185465	52461	104959	19838	21260	6510	26163	32673	416656	77.6386
Sylhet	59943	21280	6685	9126	1169	4938	1492	3872	5364	48562	81.0136
Rangpur	504741	186850	43272	96459	15329	19528	23132	26195	49327	410765	81.3813
Mymensingh	205968	80611	20093	33262	6803	8782	5593	8549	14142	163693	79.4750

 
