   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	600305	217686	77204	107302	18791	22746	13544	39338	52882	496611	82.7264
Khulna	582874	197133	67204	105205	20420	31125	13930	40334	54264	475351	81.5530
Barisal	118082	33815	8882	34889	5119	7092	2477	3192	5669	95466	80.8472
Dhaka	756047	287084	78895	113671	32061	32076	13356	44374	57730	601517	79.5608
Chittagong	566599	192205	55548	111075	22197	26640	7416	26652	34068	441733	77.9622
Sylhet	56305	20604	5975	8137	1041	4214	1461	3681	5142	45113	80.1225
Rangpur	559158	206789	48149	96999	17364	23987	26244	31434	57678	450966	80.6509
Mymensingh	209463	81011	20168	33217	7596	10385	5740	8508	14248	166625	79.5487

 
