   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	194442	71666	33737	31560	3438	5442	2583	14097	16680	162523	83.5843
Khulna	207772	75199	30549	31551	6238	8877	5192	10984	16176	168590	81.1418
Barisal	121154	35356	11002	31161	3904	5613	2093	3346	5439	92475	76.3285
Dhaka	558880	213819	57903	77908	24564	17646	10246	28795	39041	430881	77.0972
Chittagong	259087	91910	26182	52018	9552	9824	2101	12686	14787	204273	78.8434
Sylhet	46301	14265	6176	5368	561	4728	1228	2578	3806	34904	75.3850
Rangpur	114105	43514	10003	21147	5259	5634	3963	5065	9028	94585	82.8929
Mymensingh	184362	72256	18577	29033	5760	6896	5032	7424	12456	144978	78.6377

 
