   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	562939	206176	71419	100935	18280	19290	12063	37077	49140	465240	82.6448
Khulna	475717	164299	52775	87101	18051	22882	12540	31505	44045	389153	81.8035
Barisal	125967	37412	11817	32730	4406	6644	2236	3368	5604	98613	78.2848
Dhaka	649291	245535	67847	98001	29094	23890	19148	35648	54796	519163	79.9584
Chittagong	479103	163373	47353	94888	18371	18149	5745	22283	28028	370162	77.2615
Sylhet	40874	13260	5774	6448	1024	3596	1023	2377	3400	33502	81.9641
Rangpur	485565	180678	42991	92766	14438	18219	21691	25145	46836	395928	81.5396
Mymensingh	205685	80684	19728	33337	6621	8730	5619	8622	14241	163341	79.4132

 
