   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	584867	212400	73768	104521	18142	20750	12864	37497	50361	479942	82.0600
Khulna	581244	200330	64430	106822	20430	29528	14290	39239	53529	475069	81.7331
Barisal	136325	41546	12425	35655	4960	7536	2473	3665	6138	108260	79.4132
Dhaka	674675	256758	70776	102010	29444	26780	11428	37954	49382	535150	79.3197
Chittagong	507346	173934	49357	97539	18968	20288	6163	23850	30013	390099	76.8901
Sylhet	57029	20579	5679	8090	887	4469	1394	3880	5274	44978	78.8686
Rangpur	522498	190151	44393	99655	15914	20920	24027	27924	51951	422984	80.9542
Mymensingh	206969	79397	20054	33207	7059	9445	5632	8629	14261	163423	78.9601

 
