   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	542154	213247	72134	89642	13682	10671	9825	32818	42643	442019	81.5302
Khulna	562553	214673	67077	102194	16395	14377	10625	27182	37807	452523	80.4410
Barisal	144642	44920	11961	36196	3552	5711	1992	4655	6647	108987	75.3495
Dhaka	722739	291160	79942	103340	23754	10787	6862	32673	39535	548518	75.8943
Chittagong	552053	197844	51518	107347	15877	10878	4103	23545	27648	411112	74.4697
Sylhet	70617	26333	9746	7760	1251	2304	1391	2384	3775	51169	72.4599
Rangpur	386022	156119	30690	71886	8124	7464	15954	17414	33368	307651	79.6978
Mymensingh	189603	74822	20703	30755	4597	4744	3977	7624	11601	147222	77.6475

 
