   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	464924	185409	61226	74844	12073	9971	8839	28832	37671	381194	81.9906
Khulna	443303	156160	56566	80713	14691	15632	11701	24972	36673	360435	81.3067
Barisal	149622	46575	11749	36302	3995	6472	2348	4945	7293	112386	75.1133
Dhaka	593131	235614	75953	88342	22269	11701	10692	26181	36873	470752	79.3673
Chittagong	467740	166061	46984	102219	15584	10998	5399	21164	26563	368409	78.7636
Sylhet	13137	7120	1672	1878	288	560	154	441	595	12113	92.2052
Rangpur	334371	130286	25379	61401	6901	7371	16584	17445	34029	265367	79.3630
Mymensingh	187052	73897	20827	27954	5172	5249	4363	7745	12108	145207	77.6292

 
