   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	600664	217743	77848	106845	18841	22942	13573	39400	52973	497192	82.7737
Khulna	597047	203206	68239	107604	21291	31604	14491	40941	55432	487376	81.6311
Barisal	141269	43365	13339	36556	5346	8470	2665	3950	6615	113691	80.4784
Dhaka	756005	287033	78954	113857	32070	32174	13357	44336	57693	601781	79.6001
Chittagong	557307	188547	54964	109873	22035	26446	7339	26031	33370	435235	78.0961
Sylhet	54302	23573	6657	9957	1081	5287	1765	4540	6305	52860	97.3445
Rangpur	538985	200047	47445	93104	17081	23786	24529	30482	55011	436474	80.9807
Mymensingh	209598	81073	20181	33160	7635	10473	5731	8525	14256	166778	79.5704

 
