   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	544679	210764	63461	79319	12878	9415	8335	31424	39759	415596	76.3011
Khulna	533501	202619	60960	96979	14381	10322	8634	22769	31403	416664	78.0999
Barisal	142913	47404	9968	30395	3266	3904	1602	4229	5831	100768	70.5100
Dhaka	580989	231226	61435	77418	17567	6017	6559	21182	27741	421404	72.5322
Chittagong	526110	179472	43937	97083	14619	8863	3278	21895	25173	369147	70.1654
Sylhet	95021	33012	13227	10757	1869	2675	1044	2737	3781	65321	68.7438
Rangpur	412788	157477	28993	89264	8361	6357	14710	18526	33236	323688	78.4151
Mymensingh	164478	68573	14313	23278	4062	3471	2569	6216	8785	122482	74.4671

 
