   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	539984	214863	69605	88530	13949	11317	9256	32355	41611	439875	81.4607
Khulna	560154	215929	67054	101067	16192	13571	9915	26369	36284	450097	80.3524
Barisal	152035	45992	12329	36170	3530	5605	1872	5277	7149	110775	72.8615
Dhaka	698271	307841	78808	95801	22539	9364	6600	28031	34631	548984	78.6205
Chittagong	548117	195592	49829	104766	15498	10238	3859	23145	27004	402927	73.5111
Sylhet	71027	26501	9928	7422	1215	2170	993	2301	3294	50530	71.1420
Rangpur	384857	156473	30387	72697	7920	7284	15252	17188	32440	307201	79.8221
Mymensingh	182283	71248	19370	29789	4604	7681	3744	7093	10837	143529	78.7397

 
