   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:36
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	465716	183727	42999	74628	12851	9895	8369	31102	39471	363571	78.0671
Khulna	541910	210037	59318	107209	14765	11260	8876	22762	31638	434227	80.1290
Barisal	140004	48090	9809	28110	3285	3670	1512	4260	5772	98736	70.5237
Dhaka	699957	273663	70928	93176	22959	7874	7230	27144	34374	502974	71.8578
Chittagong	559046	187673	45051	103805	15137	8369	3274	22149	25423	385458	68.9492
Sylhet	102222	34598	14053	11297	1972	2587	1006	2846	3852	68359	66.8731
Rangpur	407909	157849	29600	80615	8044	6542	12521	18818	31339	313989	76.9753
Mymensingh	187455	123198	14358	26315	5337	4535	3178	7299	10477	184220	98.2743

 
