   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	346204	127425	53779	60257	8614	8290	4801	22299	27100	285465	82.4557
Khulna	358898	124094	40865	63632	14473	17607	11250	19135	30385	291056	81.0971
Barisal	121259	35439	11130	31457	3955	5699	2081	3356	5437	93117	76.7918
Dhaka	670660	253978	69299	95756	28483	22833	19797	34953	54750	525099	78.2959
Chittagong	261009	90645	25036	52041	8967	11272	2673	14336	17009	204970	78.5299
Sylhet	28727	8285	4172	4055	400	2533	785	1875	2660	22105	76.9485
Rangpur	340081	129791	32414	57435	10859	12504	14168	18373	32541	275544	81.0231
Mymensingh	177297	70091	18442	25747	5084	6818	4870	7194	12064	138246	77.9742

 
