   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	633833	228074	77214	113946	19874	25897	14271	43379	57650	522655	82.4594
Khulna	592297	196086	68424	109549	21833	32403	14470	41032	55502	483797	81.6815
Barisal	134529	41964	12417	35445	5342	7596	2513	3685	6198	108962	80.9952
Dhaka	766780	290232	78144	115418	32976	34338	13650	46193	59843	610951	79.6775
Chittagong	557927	188578	53390	111485	23003	28508	7662	26576	34238	439202	78.7203
Sylhet	57320	20917	5323	8186	1394	4121	1532	3981	5513	45454	79.2987
Rangpur	548148	197555	46482	97067	17539	25719	24956	30999	55955	440317	80.3281
Mymensingh	211346	83608	18650	32772	7968	11114	6116	8781	14897	169009	79.9679

 
