   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:37
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	585150	212779	74349	104396	18138	20851	12876	37503	50379	480892	82.1827
Khulna	581950	200511	64888	106865	20406	29569	14288	39122	53410	475649	81.7337
Barisal	135349	41031	12314	35576	4953	7565	2490	3652	6142	107581	79.4841
Dhaka	690741	262278	72598	104218	30050	27379	11985	38681	50666	547189	79.2177
Chittagong	536515	182681	52635	103075	19913	22449	6606	25651	32257	413010	76.9801
Sylhet	60956	22291	6205	8597	1003	4504	1535	3980	5515	48115	78.9340
Rangpur	514904	188856	42800	96795	15534	20913	24209	27983	52192	417090	81.0034
Mymensingh	207980	80022	20048	33291	7105	9526	5654	8709	14363	164355	79.0244

 
