"Survey.Units","BCG_Children23M","OPV1_Children23M","PENTA1_Children23M","OPV2_Children23M","PENTA2_Children23M","OPV3_Children23M","PENTA3_Children23M","Measles_Children23M","Fully_Children23M","BCG_Children12M","OPV1_Children12M","PENTA1_Children12M","OPV2_Children12M","PENTA2_Children12M","OPV3_Children12M","PENTA3_Children12M","Measles_Children12M","Fully_Children12M","DropoutPENTA1-PENTA3_Male23M","DropoutPENTA1-PENTA3_Female23M","DropoutPENTA1-PENTA3_Children23M","DropoutPENTA1-Measles_Male23M","DropoutPENTA1-Measles_Female23M","DropoutPENTA1-Measles_Children23M","InvalidPENTA1_Infant12M","InvalidPENTA2_Infant12M","InvalidPENTA3_Infant12M","InvalidMeasles_Infant12M","Measles2ndDoseCrude","Measles2ndDose_Children18M","Measles2ndDose_Children23M","TT1_Mother0-11MChildren","TT2_Mother0-11MChildren","TT3_Mother0-11MChildren","TT4_Mother0-11MChildren","TT5_Mother0-11MChildren","TetanusAtBirth_Mother0-11MChildren","TT1_Woman18-49Y","TT2_Woman18-49Y","TT3_Woman18-49Y","TT4_Woman18-49Y","TT5_Woman18-49Y","Year"
"Bagerhat",99.5,93.4,93.4,93.4,93.4,93.9,93.9,92.4,89.2,99,92.9,92.9,92.9,92.9,92.9,92.9,86,82.8,NA,NA,NA,NA,NA,NA,1.6,3.1,3.7,4.2,93.3,79.2,85.7,98.6,97.6,91.9,76.7,55.2,94.3,96.7,96.2,90,78.1,52.4,2015
"Bandarban",94.3,86.1,86.1,90.6,90.6,90.6,90.6,87.6,81.7,94.3,86.1,86.1,90.6,90.6,90.6,90.6,85.3,79.3,2.6,1.2,2,6.1,2.4,4.5,6.8,7.6,8.2,2.7,82.9,75.8,77.9,92.9,89,85.7,77.6,66.7,85.2,93.8,93.3,90,79,66.2,2015
"Barguna",100,96.8,96.8,97.3,97.3,97.3,97.3,95.7,92.5,100,96.8,96.8,97.3,97.3,97.3,97.3,94.1,90.9,0,0,0,0,0,0,2.1,3.7,4.8,4.4,99,89,93.1,100,99.5,93.3,71.9,51,100,95.7,93.8,82.9,66.7,50.5,2015
"Barisal",100,99,99,99,99,99.5,99.5,95.1,93.2,100,99,99,99,99,99.5,99.5,94.1,92.2,0,0,0,0,0,0,1,2,2.4,4.9,100,93.1,95.1,100,100,95.2,75.7,55.7,99.5,99.5,99.5,96.2,87.6,68.1,2015
"Barisal CC",100,91.2,91.2,92.4,92.4,95.2,95.2,94.7,87.3,100,91.2,91.2,92.4,92.4,95.2,95.2,90.4,83.6,0,1.1,0.5,0,2.2,1,4.7,7.7,10.3,4.5,97.6,81.5,89.9,100,100,88.6,70.5,46.7,97.6,100,100,94.3,79.5,60.5,2015
"Barisal Division",100,95.5,95.5,96.5,96.5,97,97,93.5,88.8,100,95.5,95.5,96.4,96.4,96.6,96.6,90.6,86,0.5,0.8,0.7,1.6,2.3,1.9,3.6,5.7,7.1,4.8,93.3,83.4,87.9,98.8,96.9,87.3,69.7,47.4,95.8,99.4,98.6,92.7,77.7,55.3,2015
"Bhola",100,88.8,88.8,92.1,92.1,93.7,93.7,86.5,76.8,100,88.8,88.8,92.1,92.1,93.7,93.7,83.3,74.1,0.9,1.1,1,3.5,5.3,4.3,9.6,13.9,16.7,9.4,87.1,68.8,77.7,96.2,90.5,74.3,60.5,42.4,90.5,100,100,94.8,79.5,57.6,2015
"Bogra",99,97,97,96.2,96.2,93.6,93.6,88.7,87,98.5,97,97,96.2,96.2,93.6,93.6,85.9,84.3,3.6,3.1,3.4,6.4,8.3,7.3,1.1,1.2,1.2,2.5,84.8,71.8,78.9,99.5,97.6,89,76.2,58.6,92.9,97.1,91.9,82.9,70.5,53.8,2015
"Brahmanbaria",100,96.6,96.6,96.1,96.1,94.4,94.4,92.1,84,99.4,96,96,95.5,95.5,93.8,93.8,89.8,81.7,0,1,0.5,1.9,4.9,3.3,2.9,5.7,10.3,4.9,91.4,78.7,84,99,98.6,91.9,82.9,68.1,92.4,99,97.6,92.4,75.2,45.7,2015
"Chandpur",100,93.7,93.7,97.2,97.2,97.3,97.3,94.2,89,100,93.7,93.7,97.2,97.2,97.3,97.3,92.5,87.3,0,1.9,1,1,4.8,2.9,4.6,5.2,5.8,3,91.9,80.1,84.7,99.5,98.6,92.4,72.9,45.2,91.9,99.5,99,91.9,71.4,49,2015
