"Source","File","Variable","Description","Programme","Module","Type"
"CBSS","CBSS","CBSS.1","Children aged 0-23 months  ever  breastfed","Nutrition","Early Initiation of Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.2","Mothers who received support for early breastfeeding at health centre","Nutrition","Early Initiation of Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.3","Mothers who put the baby to the breast within one hour of birth","Nutrition","Early Initiation of Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.4","Mothers who know at least one benefit of breastfeeding","Nutrition","Early Initiation of Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.5","Mothers of children aged 0-5 months received IYCF counselling in the past month","Nutrition","Exclusive Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.6","Children aged 0-5 months who received only breastmilk in the past day","Nutrition","Exclusive Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.7","Children aged 0-5 months who received only breastmilk or formula in the past day","Nutrition","Exclusive Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.8","Children aged 0-5 months were given vitamins in the past day","Nutrition","Exclusive Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.9","Mothers that know that only breastmilk is the best nutrition for the baby the first 6 months of life","Nutrition","Exclusive Breastfeeding","Numeric, %"
"CBSS","CBSS","CBSS.10","Mothers of children aged 6-23 months that received IYCF counselling in the past month","Nutrition","Complementary Feeding","Numeric, %"
"CBSS","CBSS","CBSS.11","Mothers that have correct knowledge when to introduce solid or semi-solid foods","Nutrition","Complementary Feeding","Numeric, %"
"CBSS","CBSS","CBSS.12","Children aged 6-23 months who had the minimum dietary diversity","Nutrition","Complementary Feeding","Numeric, %"
"CBSS","CBSS","CBSS.13","Children aged 6-23 months who had the minimum dietary frequency","Nutrition","Complementary Feeding","Numeric, %"
"CBSS","CBSS","CBSS.14","Children aged 6-23 months who received a minimum acceptable diet","Nutrition","Complementary Feeding","Numeric, %"
"CBSS","CBSS","CBSS.15","Children aged 6-23 months that continued breastfeeding","Nutrition","Complementary Feeding","Numeric, %"
"CBSS","CBSS","CBSS.16","Pregnant and lactating women (PLW) with access to ANC/PNC services within 30 minutes of walking distance","Nutrition","Maternal Diet","Numeric, %"
"CBSS","CBSS","CBSS.17","PLW who received information on nutrition during pregnancy and lactation in ANC visit","Nutrition","Maternal Diet","Numeric, %"
"CBSS","CBSS","CBSS.18","PLW who were weighted in last ANC visit","Nutrition","Maternal Diet","Numeric, %"
"CBSS","CBSS","CBSS.19","PLW who changed their diet during pregnancy/lactation","Nutrition","Maternal Diet","Numeric, %"
"CBSS","CBSS","CBSS.20","PLW women who increased their food intake during pregnancy/ lactation","Nutrition","Maternal Diet","Numeric, %"
"CBSS","CBSS","CBSS.21","PLW who ate at least 5 key food groups","Nutrition","Maternal Diet","Numeric, %"
"CBSS","CBSS","CBSS.22","PLW who consumed an adequate diet (3 major meals +2 meals a day, additional rice/pulses, consuming from 5 food groups)","Nutrition","Maternal Diet","Numeric, %"
"CBSS","CBSS","CBSS.23","Average number of food groups consumed","Nutrition","Maternal Diet","Numeric, %"
"CBSS","CBSS","CBSS.24","Mothers of children aged 0-6 months who had access to an ANC centre within 30 minutes of walking distance","Nutrition","IFA Supplementation","Numeric, %"
"CBSS","CBSS","CBSS.25","Mothers who received IFA tablets during last pregnancy","Nutrition","IFA Supplementation","Numeric, %"
"CBSS","CBSS","CBSS.26","Average number of IFA tablets received","Nutrition","IFA Supplementation","Numeric, %"
"CBSS","CBSS","CBSS.27","Mothers who consumed 100 or more IFA tablets during pregnancy","Nutrition","IFA Supplementation","Numeric, %"
"CBSS","CBSS","CBSS.28","Respondents who know what iodised salt is","Nutrition","Iodized Salt Consumption","Numeric, %"
"CBSS","CBSS","CBSS.29","Households who have access to iodised salt in nearest market/shop","Nutrition","Iodized Salt Consumption","Numeric, %"
"CBSS","CBSS","CBSS.30","Households who consume branded packet salt","Nutrition","Iodized Salt Consumption","Numeric, %"
"CBSS","CBSS","CBSS.31","Households that know how to test if salt is iodized","Nutrition","Iodized Salt Consumption","Numeric, %"
"CBSS","CBSS","CBSS.32","Households that consume adequately iodized salt","Nutrition","Iodized Salt Consumption","Numeric, %"
"CBSS","CBSS","CBSS.33","Households that know benefits of iodized salt","Nutrition","Iodized Salt Consumption","Numeric, %"
"CBSS","CBSS","CBSS.34","Households that can reach a health facility within 2 hours","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.35","Mothers who had at least one ANC visit during the last pregnancy","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.36","Mothers who had 4 or more ANC visits during the past pregnancy","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.37","Mothers who knew the minimum number of ANC visits","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.38","Women who have access to a skilled birth attendant","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.39","Home deliveries where a service provider came within 48 hours of delivery","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.40","Mothers who could not afford a health centre delivery","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.41","Mothers who delivered the baby at a health facility","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.42","Mothers who received proper care at health facility during delivery","Health","Institutional Delivery","Numeric, %"
"CBSS","CBSS","CBSS.43","Home deliveries where a service provider came within 48 hours of delivery","Health","Newborn Care","Numeric, %"
"CBSS","CBSS","CBSS.44","Mothers who know about drying after delivery","Health","Newborn Care","Numeric, %"
"CBSS","CBSS","CBSS.45","Mothers who know of skin to skin care after delivery","Health","Newborn Care","Numeric, %"
"CBSS","CBSS","CBSS.46","Mothers who know of breastfeeding initiation after delivery","Health","Newborn Care","Numeric, %"
"CBSS","CBSS","CBSS.47","Mothers who know of delayed bathing after delivery","Health","Newborn Care","Numeric, %"
"CBSS","CBSS","CBSS.48","Children aged 0-11 months  received drying and skin to skin care immediately after delivery","Health","Newborn Care","Numeric, %"
"CBSS","CBSS","CBSS.49","Children aged 0-11 months received breast milk within one hour of birth","Health","Newborn Care","Numeric, %"
