"Source","File","Variable","Name"
"MICS3","ch.sav","HH1","Cluster number"
"MICS3","ch.sav","HH2","Household number"
"MICS3","ch.sav","LN","Line number"
"MICS3","ch.sav","UF1","Cluster number"
"MICS3","ch.sav","UF2","Household number"
"MICS3","ch.sav","UF4","Child's line number"
"MICS3","ch.sav","UF6","Caretaker's line number"
"MICS3","ch.sav","UF7","Interviewer number"
"MICS3","ch.sav","UF8D","Day of interview"
"MICS3","ch.sav","UF8M","Month of interview"
"MICS3","ch.sav","UF8Y","Year of interview"
"MICS3","ch.sav","UF9","Result of interview for chidren under 5"
"MICS3","ch.sav","UF10D","Day of birth of child"
"MICS3","ch.sav","UF10M","Month of birth of child"
"MICS3","ch.sav","UF10Y","Year of birth of child"
"MICS3","ch.sav","UF11","Age of child"
"MICS3","ch.sav","UF11A","Age of child in months"
"MICS3","ch.sav","BR1","Child has birth certificate"
"MICS3","ch.sav","BR2","Child registered"
"MICS3","ch.sav","BR3","Reason birth not registered"
"MICS3","ch.sav","BR4","Know how to register birth"
"MICS3","ch.sav","BR4A","Place of birth registration"
"MICS3","ch.sav","BR6","Child attends early childhood education programme"
"MICS3","ch.sav","BR7","Hours attended education in last 7 days"
"MICS3","ch.sav","BR8AM","Books-Mother"
"MICS3","ch.sav","BR8AF","Books-Father"
"MICS3","ch.sav","BR8AO","Books-Other"
"MICS3","ch.sav","BR8AN","Books-No one"
"MICS3","ch.sav","BR8BM","Stories-Mother"
"MICS3","ch.sav","BR8BF","Stories-Father"
"MICS3","ch.sav","BR8BO","Stories-Other"
"MICS3","ch.sav","BR8BN","Stories-No one"
"MICS3","ch.sav","BR8CM","Songs-Mother"
"MICS3","ch.sav","BR8CF","Songs-Father"
"MICS3","ch.sav","BR8CO","Songs-Other"
"MICS3","ch.sav","BR8CN","Songs-No one"
"MICS3","ch.sav","BR8DM","Outside-Mother"
"MICS3","ch.sav","BR8DF","Outside-Father"
"MICS3","ch.sav","BR8DO","Outside-Other"
"MICS3","ch.sav","BR8DN","Outside-No one"
"MICS3","ch.sav","BR8EM","Play-Mother"
"MICS3","ch.sav","BR8EF","Play-Father"
"MICS3","ch.sav","BR8EO","Play-Other"
"MICS3","ch.sav","BR8EN","Play-No one"
"MICS3","ch.sav","BR8FM","Naming-Mother"
"MICS3","ch.sav","BR8FF","Naming-Father"
"MICS3","ch.sav","BR8FO","Naming-Other"
"MICS3","ch.sav","BR8FN","Naming-No one"
"MICS3","ch.sav","BR9","Develop the Intelligence of this child?"
"MICS3","ch.sav","BR10A","Give warm and responsive care"
"MICS3","ch.sav","BR10B","Encourage any participation"
"MICS3","ch.sav","BR10C","Let child play and socialize with others"
"MICS3","ch.sav","BR10D","Set good example by modeling good behaviors and morals"
"MICS3","ch.sav","BR10E","Discipline/punish the child physically"
"MICS3","ch.sav","BR10F","Scold the child"
"MICS3","ch.sav","BR10G","Stimulate attachment by providing consistent & responsive ca"
"MICS3","ch.sav","BR10H","Development of learning abilities"
"MICS3","ch.sav","BR10X","Don't Know"
"MICS3","ch.sav","BR11","Doing anything to prepare to go to school?"
"MICS3","ch.sav","BR12A","Develop speaking"
"MICS3","ch.sav","BR12B","Develop writing"
"MICS3","ch.sav","BR12C","Follow rules & regulations"
"MICS3","ch.sav","BR12D","Sending to school at appropriate age"
"MICS3","ch.sav","BR12E","Prepare mentally"
"MICS3","ch.sav","BR12F","Opportunity for playing"
"MICS3","ch.sav","BR12G","Encourage by comparing other children"
"MICS3","ch.sav","BR12H","Development of learning abilities"
"MICS3","ch.sav","BR12X","Others"
"MICS3","ch.sav","VA1","Child ever received vitamin A"
"MICS3","ch.sav","VA2","Months ago child took last Vitamin A dose"
"MICS3","ch.sav","VA3","Place child got last Vitamin A dose"
"MICS3","ch.sav","BF1","Child ever been breastfed"
"MICS3","ch.sav","BF1A","Give honey/suger water/mastered oil as pre lactial food"
"MICS3","ch.sav","BF1BU","Timing of braest feeding after birth (Unit)"
"MICS3","ch.sav","BF1BN","Timing of braest feeding after birth (Number)"
"MICS3","ch.sav","BF2","Child still being breastfed"
