variable,description,model_keep,num_values,type
hhid,Case Identification,0,17141,numeric
hvidx,Line number,0,31,categorical
hv000,Country code and phase,0,1,categorical
hv001,Cluster number,0,600,categorical
hv002,Household number,0,184,categorical
hv003,Respondent's line number (answering Household questionnaire),0,15,categorical
hv004,Ultimate area unit,0,600,numeric
hv005,Household sample weight (6 decimals),0,465,numeric
hv006,Month of interview,0,6,categorical
hv007,Year of interview,0,1,numeric
hv008,Date of interview (CMC),0,6,date
hv009,Number of household members,1,25,numeric
hv010,Number of eligible women in household,1,7,numeric
hv011,Number of eligible men in household,1,6,numeric
hv012,Number of de jure members,1,24,numeric
hv013,Number of de facto members,1,26,numeric
hv014,Number of children 5 and under (de jure),1,8,numeric
hv015,Result of household interview,1,1,categorical
hv016,Day of interview,1,31,categorical
hv017,Number of visits,1,3,numeric
hv018,Interviewer identification,0,130,numeric
hv019,Keyer identification,0,7,categorical
hv020,Ever-married sample,1,1,categorical
hv021,Primary sampling unit,0,600,categorical
hv022,Sample strata for sampling errors,0,20,numeric
hv023,Stratification used in sample design,0,20,numeric
hv024,Region,1,7,categorical
hv025,Type of place of residence,1,2,categorical
hv026,Place of residence,1,3,categorical
hv027,Household selected for male interview,1,2,categorical
hv028,Household weight for male subsample (6 decimals),0,466,numeric
hv030,Field supervisor,0,21,categorical
hv031,Field editor,0,22,categorical
hv032,Office editor,0,8,categorical
hv035,Number of eligible children for height and weight,1,8,numeric
hv040,Cluster altitude in meters,1,72,numeric
hv041,Total adults measured,1,13,numeric
hv042,Household selected for hemoglobin,1,2,categorical
hv044,NA - Household selected for Domestic Violence module,0,1,categorical
hv201,Source of drinking water,1,13,categorical
hv202,NA - Source of non-drinking water,1,1,categorical
hv204,Time to get to water source (minutes),1,50,numeric
hv205,Type of toilet facility,1,13,categorical
hv206,Has electricity,1,2,categorical
hv207,Has radio,1,2,categorical
hv208,Has television,1,2,categorical
hv209,Has refrigerator,1,3,categorical
hv210,Has bicycle,1,3,categorical
hv211,Has motorcycle/scooter,1,3,categorical
hv212,NA - Has car/truck,1,1,categorical
hv213,Main floor material,1,9,categorical
hv214,Main wall material,1,13,categorical
hv215,Main roof material,1,12,categorical
hv216,Number of rooms used for sleeping,1,12,numeric
hv217,Relationship structure,1,6,categorical
hv218,Line number of head of household,1,2,categorical
